variable_id,mz,rt,bl20210902_10,bl20210902_11,bl20210902_13,bl20210902_14,bl20210902_26,bl20210902_27,bl20210902_29,bl20210902_30,bl20210902_31,bl20210902_32,bl20210902_33,bl20210902_34,bl20210902_35,bl20210902_36,bl20210902_4,bl20210902_5,bl20210902_6,bl20210902_7,bl20210902_8,bl20210902_9,bl20210902_15,bl20210902_16,bl20210902_17,bl20210902_18,bl20210902_19,bl20210902_20,bl20210902_22,bl20210902_23,bl20210902_24,bl20210902_25,bl20210902_12,bl20210902_21,bl20210902_28,bl20210902_3,bl20210902_37,bl20210902_38
M786T221_POS,786.1677027445714,220.7213363647461,NA,NA,NA,NA,NA,NA,NA,11662.788366025567,NA,33851.49498968189,NA,NA,13532.371952863881,30846.90346413642,NA,NA,NA,NA,NA,NA,NA,3318.717648061786,NA,4200.60958861001,NA,1994.0108507544628,NA,NA,NA,NA,13136.64282356641,11855.420574165726,NA,14292.611236650477,10109.46884031398,9301.84137949956
M787T629_POS,786.5993266581332,628.8009033203125,NA,104211.41536103157,121203.40128845924,156674.66348582724,148932.4951030318,167146.18684128177,NA,NA,NA,183732.84092098035,43943.390739298695,40523.897209147464,127731.49775024557,154037.97167395812,203504.3371062032,210742.28897005596,60113.2167188608,20339.012095890623,28501.85953714601,6866.547023258059,129711.09512351471,NA,2050488.8974139495,745306.8631165043,81514.46699713709,45144.481779868045,146563.77041471648,183962.00697864327,179162.92486594483,145449.26589358755,254335.58810835422,34495.40374296191,35010.86582108313,NA,172460.12642806707,56785.18425151276
M787T495_POS,786.5955568372613,495.2076873779297,NA,NA,1087849.2050211432,758559.7429058288,118048.27614568594,312876.8888854444,NA,NA,NA,NA,185946.5552697197,NA,NA,256475.17328295216,NA,NA,NA,35278.66869340901,NA,NA,NA,79758.07618241638,NA,6598469.975904041,1112351.6698649407,NA,NA,NA,576361.7879552547,334979.09856409987,451198.23584246304,NA,NA,NA,NA,NA
M787T221_POS,787.1710020195044,220.72280883789062,NA,NA,NA,NA,NA,NA,NA,5309.770755436618,NA,13863.46548143068,2272.91966437588,NA,NA,13417.620649244272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5711.070899921939,NA,NA,5764.363211242378,NA,4002.1104532773456
M788T629_POS,787.6045878632096,628.80078125,NA,34388.19977917764,93648.46972747493,57713.86988137974,54228.99781033698,64339.93801153849,NA,NA,NA,66961.72836790443,NA,13998.54119872267,46165.315182811,53467.4201054191,71937.40728367414,77664.4971036449,22683.430676660144,7518.746668060242,10595.328419990903,NA,47705.85816986517,NA,496121.7846094792,287578.4711352313,NA,NA,51806.61961169348,65481.91137042875,65618.43009733295,50751.435482992165,91831.1906761678,NA,13542.776334631684,NA,65321.83895298592,NA
M789T629_POS,788.6140123676503,628.8009338378906,11621.165603416837,17100.514597942572,NA,1027142.38315611,451464.937312348,442094.04208216764,409824.8040441016,96145.9237834284,NA,20938.27581966915,8860.83936956988,303980.48427805665,88762.18505831379,115654.53535716659,15343.047401311045,20809.70527193574,308081.41610701225,260810.25413062138,225065.94310374797,43090.159996158225,753486.1806066443,130313.88893235312,235689.30446162258,132610.7921445669,184150.53505435816,NA,33034.90749345276,44781.712818401174,61838.47302593407,375307.23043479427,36744.66426613455,164964.59267528926,427839.9279803808,NA,294496.40072419925,344459.76961182617
M789T491_POS,788.6137294698945,491.43487548828125,NA,NA,845013.3611902483,3032840.770013017,2224692.600943051,1983197.7460490132,1601223.4116715018,655209.298169377,NA,NA,NA,NA,542946.6227161845,NA,NA,NA,922278.6574105164,NA,1763156.6784263388,340689.38508446666,2711252.935445633,1055600.292675692,NA,1092142.8998931271,NA,1784181.3793666824,NA,97949.9756678496,589408.0598344206,1168636.4275893404,NA,1320046.8679769188,2358937.466266615,NA,1074039.4094214889,991096.409839876
M790T493_POS,789.615536931746,493.2193603515625,NA,NA,200717.41406696723,178571.13510669535,407533.70867602713,498456.3231035095,321624.1423431963,NA,NA,NA,NA,NA,126841.63467612317,NA,NA,NA,433041.9801512345,NA,569570.0907789429,NA,1079293.7363789745,224427.31109225584,71024.44228169868,134051.0793453652,NA,526581.8775885607,NA,NA,NA,NA,NA,575218.1061750615,815631.3102149,NA,NA,NA
M790T629_POS,789.6154168459823,628.8009529113763,NA,NA,151225.1233974894,395941.1047073692,162689.54812984573,167655.68846365137,161651.03434476082,35894.42002070222,NA,NA,NA,113878.46479529898,29596.106102750728,36868.387079684326,NA,NA,117177.2520072029,101990.07860499526,84783.4501525656,16964.01509453504,281652.9205211212,NA,43205.620588428465,NA,63497.319128221454,221415.58949671223,12938.684692375316,12183.07596705855,103360.96883546385,136764.70162009506,8412.477082618825,62317.86641942732,160043.6794819866,NA,102546.34143786145,125335.4762195402
M791T629_POS,790.6184157170469,628.801025390625,NA,NA,27839.702211718435,76596.135864419,NA,33788.53834531809,33226.955299338704,8387.577996203105,NA,NA,NA,24562.278913027247,NA,NA,NA,NA,23903.545851402654,20244.770377039644,17485.356619454677,3951.7000484262394,52815.18365303212,NA,NA,NA,13765.111216146977,43091.586763923005,NA,NA,22058.34965851727,26709.084186606688,NA,15804.965977002203,32095.192075211504,NA,NA,23934.676362259845
