variable_id,mz,rt,X20210902_neg04,X20210902_neg05,X20210902_neg06,X20210902_neg07,X20210902_neg08,X20210902_neg09,X20210902_neg10,X20210902_neg11,X20210902_neg13,X20210902_neg14,X20210902_neg26,X20210902_neg27,X20210902_neg28,X20210902_neg29,X20210902_neg31,X20210902_neg32,X20210902_neg33,X20210902_neg34,X20210902_neg35,X20210902_neg36,X20210902_neg15,X20210902_neg16,X20210902_neg17,X20210902_neg18,X20210902_neg19,X20210902_neg20,X20210902_neg22,X20210902_neg23,X20210902_neg24,X20210902_neg25,X20210902_neg03,X20210902_neg12,X20210902_neg21,X20210902_neg30,X20210902_neg37,X20210902_neg38
M698T408_NEG,698.3217843367759,407.90399551392,13593.38626097412,11658.266408464267,11465.740394598966,10353.93197452161,5682.501774611609,5557.339069918388,8069.679797707641,10633.697891154,2986.7559957385865,NA,2837.905812611643,2925.192733737535,NA,NA,NA,NA,NA,8724.604721102633,7952.006308926025,NA,21457.563016225522,13303.884855070155,NA,23793.23015096081,NA,2874.8884735206875,NA,6672.647154458419,4852.899453298676,3649.4367885475785,8814.415726692328,7619.630502951109,3935.780897113078,NA,7372.001177310491,7279.317639224115
M698T337_NEG,698.4414785888936,337.33400344847996,NA,NA,NA,NA,NA,NA,12075.726985945279,11278.47481272675,7554.01548058349,4407.583033595375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8829.926828406622,6442.538746045845,NA,NA,NA,5872.645732309096
M699T185_NEG,699.1820136037085,185.43349742889,4273.261248486361,3172.607566810475,2711.1662578307937,NA,1932.4061775147402,15203.520374900716,10716.10776458865,9262.597553723965,11788.502460051219,12438.253289475613,NA,NA,NA,NA,NA,10914.330949722644,8632.475980903224,15053.354049558877,5201.807710247543,NA,12351.866703390246,11646.752071465822,NA,14108.279198168755,11739.408432781336,16511.57651090285,21067.89597900922,13762.736318264015,11917.32135764065,13167.871802574697,17882.60764123649,11082.368896906115,NA,NA,12329.206526295706,10093.81064051378
M699T228_NEG,699.2172395194207,227.63500213626,NA,NA,NA,NA,NA,15280.804533389759,26427.98795708948,16790.448804598193,15847.64426570915,15762.74074300064,NA,NA,NA,NA,NA,165216.19964076806,31246.057337259037,184446.05049747817,141207.3098260603,182988.215391118,11485.329175750388,12080.971183743579,NA,19625.36711548782,17706.543863535317,16288.375017672242,14992.56569437475,23239.39501913311,21419.26814536102,43768.05315959319,141458.16714452763,91389.5019804801,94403.8528219783,97747.17556201977,96835.68444221924,96265.06636586592
M699T283_NEG,699.217915311886,283.11401367186005,NA,NA,NA,NA,NA,NA,10918.46682585912,NA,8399.033318861782,NA,NA,NA,NA,NA,NA,95967.22224274829,NA,115662.57870985751,95728.4220946253,124827.76614545089,9436.809695679993,NA,NA,15397.726249713693,13755.46221176696,NA,NA,13866.601637310378,12039.772455545002,19849.054276937655,59650.462829421995,41386.82502784515,48273.11735476589,47489.86795599326,47272.39225974175,45232.71388214304
M699T213_NEG,699.2379204103066,212.54300594328,NA,NA,NA,NA,NA,NA,5909.251721215866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3624.974334646918,NA,NA,3200.146209111148,4151.4561581214775
M699T386_NEG,699.2714297488983,386.45198822022,6709.6427938442885,NA,4191.007939714749,4570.913812849137,5943.722209367356,NA,NA,5017.060723604022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26361.748368074874,5105.851440392701,NA,24499.451293862316,27774.15999853731,NA,NA,2023.7173271190786,NA,NA,4479.518768680253,NA,NA,3114.8891351616053,NA,NA
M700T126_NEG,700.1526357703574,125.55400371552001,NA,NA,NA,NA,NA,12023.433766331933,6436.959271413239,7622.011354579316,NA,NA,NA,NA,NA,NA,NA,5627.640679200887,NA,9942.542514080382,8362.944935349624,7220.420297350936,NA,NA,NA,NA,NA,7500.909800277126,8859.155288744741,8854.788451269793,7495.507524929211,7232.932059947004,15488.54518186452,8770.879720403984,6264.874169869181,8905.69937933726,7707.823516789774,7282.508414623088
M700T185_NEG,700.1865217621856,185.43299674986,NA,NA,NA,NA,NA,4216.375210860161,NA,NA,3753.9466935463647,2954.9434417693874,NA,NA,NA,NA,NA,NA,NA,5544.130180753479,NA,NA,3251.582301833028,4152.354715151475,NA,NA,3144.625991798471,4168.170288424847,5565.351334282117,NA,3962.670498678225,NA,NA,NA,NA,NA,NA,NA
M700T134_NEG,700.2143334905749,134.35850143433998,NA,NA,NA,NA,NA,10173.974914606395,12951.351352014455,12727.453804223482,8318.768084597976,9317.613831249848,NA,NA,NA,NA,NA,8133.520736738796,7776.561985042034,6639.40773487697,12076.155102872279,7130.2928609712235,1997.2854093265744,NA,NA,NA,NA,9029.9160004427,10370.949811970186,11974.064831168243,9178.910940123389,8841.302867143397,17892.481374964864,11821.927178804915,11608.022850395893,13741.312283302203,11507.642759189108,13640.378130724752
